Kata,Bobot
mpus,0
mrasa,0
mreka,0
mrg,0
mrk,0
mrkkrn,0
ms,0
msg,0
msh,0
msk,0
mski,0
mslh,0
mslhnya,0
msng,0
mss,0
mst,0
mti,0
mu,0
muda,0
mudah,0
mudahan,0
mudahmudahan,0
mudamenyaksikan,0
mudhorot,0
muehehe,0
mufakat,0
mujgn,0
muka,2
mukaa,0
mukanya,0
mukanye,0
muke,0
muknya,0
muko,0
mukul,0
mukuli,0
mukulin,0
mulai,0
multiefek,0
multifinance,0
mulu,0
mulut,0
mulutmu,0
mulutny,0
mulutnya,0
mummaluk,0
muncul,0
mundur,0
mungka,0
mungkin,0
mungkinkah,0
mungut,0
murid,0
muridnya,0
murrezza,0
murtad,0
musibah,0
musibahsedih,0
music,0
musim,0
muslim,0
mustahil,0
musuh,0
musuhmusuhnya,0
musukke,0
musyawarah,0
musyi,0
mutlak,0
mw,0
mwildannur,0
my,0
n,0
na,0
naaak,0
nabi,0
nabrak,0
nabrakin,0
nadie,0
nadiem,0
nadiemmakariem,0
nadiemmakarim,0
nadim,0
nadism,0
nafkah,0
nafkahh,0
nafsu,0
nagis,0
nagus,0
nah,0
nahan,0
nahh,0
najis,0
najwashihab,0
nak,0
nakal,-5
nakalin,-4
nakalnya,-4
naluri,0
nama,0
namany,0
namanya,0
namanyanama,0
nambah,0
namnya,0
nampak,0
namun,0
nangeesss,0
nanges,0
nangess,0
nanggung,0
nangis,0
nangisberani,0
nangisng,0
nangiss,0
nangisss,0
nanti,0
nantinya,0
nantinyaaamiin,0
nanya,0
nanyain,0
naon,0
napa,0
napi,0
narasi,0
narkoba,0
narkotik,0
nasabah,0
nasdem,0
nasehati,0
nasi,0
nasib,0
nasibnya,0
nasihat,0
nasional,0
native,0
naudhubillah,0
naudzubilla,0
naudzubillah,0
naudzubillahiminzalik,0
nawacita,0
nda,0
ndak,0
ndas,0
ndase,0
ndasmu,0
ndek,0
ndro,0
ne,0
negakin,0
negara,0
negaranya,0
negatif,0
negatifnya,0
negeri,0
negoisasi,0
negri,0
neh,0
nek,0
neko,0
nembakin,0
nempel,0
nempo,0
nemuu,0
nendang,0
neng,0
nentukan,0
neon,0
neoon,0
nepotisme,0
neraka,0
neriakin,0
nerima,0
nerolanaro,0
netijeeen,0
netijen,0
netizen,0
netral,0
next,0
nga,0
ngab,0
ngaca,0
ngaco,0
ngadain,0
ngadepin,0
ngadu,0
ngajak,0
ngajakin,0
ngajar,0
ngajari,0
ngajarinnya,0
ngaji,0
ngak,0
ngakak,0
ngakakkkk,0
ngalamin,0
ngam,0
ngamuk,0
ngamuknya,0
ngana,0
ngancem,0
nganggap,0
nganiaya,0
nganterin,0
ngapa,0
ngapain,3
ngaruh,0
ngasi,0
ngasih,0
ngatain,0
ngawur,0
ngawurblunder,0
nge,0
ngebakar,0
ngebela,0
ngebleb,0
ngebuat,0
ngebully,0
ngebuly,0
ngebunuh,0
ngece,0
ngedabrusss,0
ngedenger,0
ngedukug,0
ngefans,0
ngefanstp,0
ngegank,0
ngegencet,0
ngegonggong,0
ngehujat,0
ngejalani,0
ngejamin,0
ngejar,0
ngejek,0
ngekomen,0
ngelakuiinnya,0
ngelakuin,0
ngelanjuti,0
ngelawak,0
ngelawan,0
ngeledek,0
ngeless,0
ngeliat,0
ngeliatnyastop,0
ngelihat,0
ngelirik,0
ngelotak,0
ngeluarin,0
ngelunjak,0
ngenakin,0
ngendikan,0
ngene,0
ngentod,0
ngepost,0
ngeprank,0
ngerasa,0
ngerasain,0
ngerengek,0
ngeri,0
ngerii,0
ngeriiii,0
ngeriiiik,0
ngerinya,0
ngerjain,0
ngerti,0
ngerumuni,0
ngerusak,0
ngetawain,0
ngevidioikut,0
ngga,0
nggak,0
nggk,0
nggono,0
ngidupin,0
ngikutin,0
ngilangin,0
ngk,0
ngkale,0
ngmg,0
ngmng,0
ngmngnya,0
ngno,0
ngolok,0
ngomenin,0
ngomong,0
ngomongdulu,0
ngomongin,0
ngono,0
ngorbanin,0
ngotak,0
ngotot,0
ngpain,0
ngrasa,0
ngrasain,0
ngrekam,0
ngroyok,0
ngrubah,0
ngulangi,0
ngumpul,0
ngumumin,0
ngungkapin,0
ngurus,0
ngurusin,0
ngutang,0
ngutil,0
nhapain,0
ni,0
nian,0
niat,0
niccolo,0
nie,0
nies,0
nigga,0
night,0
nih,0
nihhh,0
nihil,0
nihyg,0
nikel,0
nikmat,0
nilah,0
nilai,0
nilainya,0
nindas,0
ninggalin,0
ningkatin,0
nipis,0
niru,0
nis,0
niscaya,0
niss,0
nitizen,0
njadis,0
njaluk,0
njalukkk,0
njar,0
njebolkan,0
njeenggg,0
njelekkan,0
njenengan,0
njir,0
njis,0
nk,0
nkri,0
nn,0
nnt,0
nnti,0
nnya,0
no,0
nobatkan,0
noda,0
noh,0
nol,0
noluntuk,0
nomer,0
nongkrong,0
nongol,0
nongolin,0
nongsa,0
nonjokin,0
nonton,0
nooo,0
noooo,0
nooooo,0
norak,0
norma,0
normal,0
normalisasi,0
normatif,0
not,0
noted,0
novel,0
november,0
novenhadir,0
now,0
ntah,0
ntahlah,0
ntar,0
nti,0
ntr,0
ntu,0
nu,0
nugelo,0
nularr,0
nulis,0
nunduk,0
nunggu,0
nungguin,0
nungkin,0
nurani,0
nuranimu,0
nuraninya,0
nurul,0
nurun,0
nurunin,0
nurutku,0
nurutpncastriadtma,0
nusa,0
nusakambangan,0
nutupi,0
nutupin,0
ny,0
nya,0
nyaa,0
nyaaaq,0
nyadar,0
nyaho,0
nyahoeun,0
nyali,0
nyalinya,0
nyalinye,0
nyalon,0
nyalonin,0
nyam,0
nyaman,0
nyambung,0
nyampein,0
nyangka,0
nyapres,0
nyari,0
nyaribet,0
nyasaya,0
nyata,0
nyatanya,0
nyatitip,0
nyawa,0
nyawany,0
nyebarin,0
nyebut,0
nyekek,0
nyela,0
nyemangatin,0
nyenbuhin,0
nyerang,0
nyerocos,0
nyesek,0
nyesel,0
nyiapin,0
nyimak,0
nyindir,0
nyinyir,0
nyjgn,0
nyobain,0
nyogok,0
nyojd,0
nyolot,0
nyombongin,0
nyq,0
nyundut,0
nyundutin,0
nyuruh,0
nyusahin,0
nyusain,0
o,0
obat,0
obesitas,0
obrolan,0
obyek,0
odgj,0
oendukung,0
oersatu,0
of,0
officialkpk,0
ogah,0
ogak,0
oh,0
oi,0
oiya,0
ojek,0
ojo,0
ojok,0
ojol,0
ok,0
oke,0
okebesok,0
okeee,0
okezone,0
oknum,0
oknummungkin,0
oksigen,0
olah,0
olahraga,0
olahraganya,0
oleh,0
om,0
omelin,0
omg,0
omomgannya,0
omon,0
omongan,0
omongannya,0
omongin,0
omongkan,0
omongnya,0
omonomon,0
on,0
onar,0
once,0
one,0
online,0
ono,0
ooh,0
ooo,0
oopo,0
oops,0
open,0
opini,0
opisiisi,0
opo,0
opoikii,0
oposan,0
oposasaoposono,0
oposisi,0
ops,0
or,0
ora,0
oran,0
orang,1
orangnya,0
orangorang,0
orangtua,0
orangtuaikhtiarnya,0
orangtuanya,0
orangya,0
oranye,0
orapercoyo,0
orbowo,0
oren,0
orens,0
org,0
organisasi,0
orgcm,0
orghrs,0
orgnya,0
orgtua,0
orientasi,0
orkay,0
orla,0
ormas,0
orng,0
orngdia,0
orok,0
orsng,0
ortu,0
ortua,0
ortuny,0
ortunya,0
osen,0
ospek,0
otak,0
otakk,0
otaknya,0
otakx,0
otb,0
otomatis,0
otw,0
our,0
out,0
over,0
overdosis,0
owalah,0
oy,0
ozora,0
p,0
pa,0
paansi,0
pabila,0
pacarnya,0
pack,0
pacul,0
pada,0
padahal,2
padam,0
pade,0
padhe,0
paham,0
pahlawan,0
pajak,0
pajang,0
pajangan,0
pak,0
pakai,0
pakallah,0
pakar,0
pakarpakar,0
pakawas,0
pakbiar,0
pakbu,0
pakbukpejabat,0
pakde,0
pake,0
pakek,0
paket,0
pakhotmanparisofficial,0
pakjangan,0
pakk,0
pakkk,0
pakkkk,0
paklawan,0
paklly,0
pakpemerintahan,0
pemeriksaan,3
pakpol,0
pakprabowo,0
paksa,0
paktakut,0
paktapi,0
pala,0
palak,0
palaknyopatahke,0
palaku,0
palaluuu,0
palanya,0
palelo,0
palembang,0
paling,0
palingan,0
palsu,0
palsumu,0
paman,0
pamer,0
pampangngke,0
pamrih,0
pan,-5
pancasila,0
pandang,0
pandangan,0
pandegalang,0
panggil,0
pangkat,0
panik,0
panjang,0
panjangan,0
panjarain,0
pantai,0
pantang,0
pantas,0
pantau,0
pantek,0
pantes,0
pantesan,0
panutan,0
paok,0
papa,0
papah,0
papalanjutkan,0
paparkan,0
papi,0
papua,0
para,0
parah,0
parahhhhungkappp,0
parenting,0
parents,0
pargoi,0
pargoy,0
parlemen,0
parno,0
part,0
parta,0
partai,0
partaimu,0
partainya,0
pas,0
pasal,0
pasalnya,0
pasang,0
pasangan,0
pasanganya,0
pasar,0
paselon,0
paslon,0
pasrahkan,0
past,0
pastai,0
pasti,2
pastinya,3
pasukan,0
patah,0
patahin,0
patakah,0
pateeennn,0
path,0
patuh,0
patungan,0
patut,0
payah,0
pcy,0
pd,0
pda,0
pdhal,0

pdi,0
pdip,0
pdipberarti,0
pdp,0
pe,0
pebuhyg,0
pecah,0
pecat,0
pecel,0
pecundang,0
pede,0
pedesaan,0
pedih,0
peduli,0
pegang,0
pegawai,0
pejabat,0
pejabatnya,0
pejajahan,0
pejaten,0
pekak,0
pekerjaan,0
pekerti,5
pekok,0
pelajar,0
pelajaran,0
pelajaranpos,0
pelajardk,0
pelajari,0
pelajran,0
pelaku,0
pelakuatau,0
pelakudan,0
pelakugmn,0
pelakunya,0
pelakuperlu,0
pelakuuusok,0
pelalu,0
pelaluorg,0
pelanggar,0
pelanggaran,0
pelapor,0
pelawak,0
pelayanan,0
pelecehan,0
pelicin,0
peliharaan,0
peluk,0
pelukan,0
peluuk,0
pemahaman,0
pembacokan,0
pembawa,0
pembayaran,0
pembela,0
pembelaan,0
pembelajaran,0
pembelajran,0
pembenaran,0
pembentukan,0
pemberitaan,0
pemberitaannya,0
pemberlakuan,0
pemberontak,0
pembiaran,0
pembiasaan,0
pembinaan,0
pembuhuhan,0
pembuli,0
pembulian,0
pembullian,0
pembulliyanmiris,0
pembully,0
pembullyan,0
pembullyannya,0
pembullyklo,0
pembullysangat,0
pembullysekolah,0
pembulyan,0
pembunuhan,0
pemerintah,0
pemerintahan,0
pemerintahanies,0
pemikiran,0
pemikirannya,0
pemilih,0
pemilihpemilih,0
pemilik,0
pemiliknya,0
pemilu,0
pemimpin,0
pemlu,0
pemuda,3
pemuja,0
pemujamu,0
pemukiman,0
pemukulan,0
pemungutan,0
pemunuh,0
penak,0
penakut,0
penangan,0
penanganan,0
penanganannya,0
penangkapannya,0
penasaran,0
penasehatpenasehat,0
pencabulan,0
pencegahanjgn,0
pencidukan,0
penculikan,0
pencurian,0
pendampingan,0
pendapat,0
pendapatnya,0
pendekar,0
pendekatan,0
pendendam,0
penderitaan,0
pendidik,0
pendidikan,0
pendidikannya,0
pendidiksekolahan,0
pendiem,0
pendikan,0
pendpt,0
pendudukan,0
pendukung,0
pendukungnya,0
penegak,0
penegakan,0
penegakkan,0
penelanjangan,0
penengak,0
penentu,0
peneror,0
penerus,0
pengacara,0
pengacarakebanyakan,0
pengacarakuasa,0
pengacaralalu,0
pengacaranya,0
pengacaratp,0
pengadilan,0
pengajar,0
pengajaran,0
pengajaranilmu,0
pengajian,0
pengakuannya,0
pengalaman,0
pengamat,0
pengangan,0
pengangguran,0
penganiayaan,0
pengaraca,0
pengawasan,0
pengcra,0
pengeluaran,0
pengen,0
pengenya,0
pengetahuan,0
pengganti,0
penghambat,0
penghargaan,0
penghukumanpenuduhan,0
pengikut,0
pengin,0
pengine,0
pengobatan,0
penguasa,0
penguasanyapemimpin,0
pengumuman,0
pengungkapan,0
pengurus,0
pengurusannya,0
pengusaha,0
pengusahaanak,0
pengusung,0
peniikan,0
penilaian,0
penipuan,0
penjahat,0
penjahatgimana,0
penjajahan,0
penjara,0
penjaraaaaaa,0
penjarain,0
penjarakan,0
penjaralah,0
penjaralolos,0
penjarasakit,0
penjaroke,0
penjerong,0
penjilatada,0
penjr,0
penjra,0
penjrkan,0
penolakan,0
penting,0
pentingnya,0
penurunan,0
penyakit,0
penyangkalannya,0
penyebabnya,0
penyelesaian,0
penyiar,0
penyiksaan,0
penyiksan,0
people,0
pepesan,0
per,0
peradaban,0
peradilan,0
perahu,0
perampasan,0
peran,0
perang,0
perangai,0
perasaan,0
perasaannya,0
perasangka,0
perawan,0
perawat,0
perbedaan,0
perbincang,0
perbuat,0
perbuatan,0
perbuatannya,0
perbuatkak,0
perbully,0
percaya,0
percobaan,0
percuma,0
perdamaian,0
perduli,0
perdulin,0
perempuan,0
perempuannya,0
perempuansedih,0
perempuantu,0
perfect,5
pergaulan,0
pergi,0
perhatian,5
perhiasan,0
perhitungan,0
perihal,0
perilaku,0
perilakunya,0
perimisi,0
peringanan,0
perintah,0
period,0
periode,0
peristiwa,0
perjuangan,0
perkara,0
perkaraa,0
perkarain,0
perkataannya,0
perkelahian,0
perlahan,0
perlakuan,0
perlakuannya,0
perlakukan,0
perlindungan,0
perllu,0
perlu,0
perlujd,0
permasalahan,0
permasalahanpermasalahan,0
permintaan,0
permisi,0
permohonan,0
permusuhan,0
pernah,0
pernh,0
pernyataan,0
peroleh,0
perolehan,0
perpangkat,0
perpoloncoan,0
persatu,0
persatuan,0
persen,0
persetan,0
persiapan,0
persidangan,0
persis,0
persisten,0
persoalan,0
persoalanya,0
personal,0
personnya,0
perspektif,0
pertama,0
pertamakata,0
pertanggung,0
pertanyaakan,0
pertanyaan,0
pertanyakan,0
pertarungan,0
pertemanan,0
pertempuran,0
pertimbangan,0
perubahan,0
perubahannya,0
perudung,0
perudungan,0
perudunggan,0
perumahannya,0
perundangan,0
perundingan,0
perundung,0
perundungam,0
perundungan,0
perundungankasian,0
perundungankrisis,0
perundungannya,0
perundunganpak,0
perusahaan,0
perusak,0
perut,0
perutnya,0
perwakilan,0
pesan,0
pesanan,0
pesantren,0
pesing,0
petentang,0
petenteng,0
petugas,0
peyek,0
pgn,0
phd,0
physiolog,0
pic,0
pidana,0
pidanain,0
pidanakan,0
pidato,0
pihak,0
pikir,0
pikiran,0
pikirkan,4
pilem,0
pilgub,0
pilih,0
pilihan,0
pilihanalah,0
pilihanku,0
pilkades,0
pilpres,0
pimen,0
pimpinan,0
pincen,0
pincent,0
pindah,3
pindahkan,0
pindana,0
pinggir,0
pingin,0
pink,0
pinsen,0
pintar,0
pinter,0
pintu,0
pinus,0
pipikirannnaaaaaaa,0
piro,0
pisah,1
pites,0
piye,0
pk,0
pkb,0
pke,0
pki,0
pks,0
plajaran,0
plaku,0
playing,0
please,0
plg,0
pliisss,0
pliissss,0
pling,0
plis,0
pliss,0
plisss,0
plissss,0
ploncoan,0
plus,0
pmahfud,0
pmm,0
pmp,0
pnah,0
pnddkn,0
pngen,0
pngn,0
pny,0
pnya,0
po,0
poak,0
podo,0
pohon,0
pohonnya,0
poin,0
point,0
pokoke,0
pokoknya,0
pokoknyo,0
pokonya,0
pokonyaaa,0
pol,0
pola,0
polah,0
polahe,0
polbiar,0
poldajabarquickresponse,0
polhukam,0
polhukamri,0
polici,0
poling,0
polisi,0
polisibaru,0
politik,0
politikmu,0
politikus,0
polkasih,0
polres,0
polrescianjur,0
polri,0
polsek,0
ponakanku,0
pondok,0
poni,0
pop,0
popularitas,0
posisi,0
positif,0
positifnya,0
position,0
post,0
postingan,0
potensi,0
poto,0
power,0
powerangers,0
pr,0
prabowo,0
praktek,0
pramonalberto,0
prank,0
pranowo,0
prasangka,0
predikat,0
preeeetttt,0
preman,0
premanisme,0
premannanti,0
premisme,0
presenteranak,0
presiden,0
presidennya,0
president,0
prestasi,0
prestasinya,0
pret,0
prhatikan,0
pribadi,0
pribadinya,0
pribumi,0
prihatin,0
prilaku,0
prilakukegiatan,0
primitif,0
principe,0
pripunkinerja,0
privasi,0
privilage,0
privilegenya,0
prjuangkan,0
prnh,0
problem,-5
problematic,-5
problematik,0
production,0
produk,0
prof,0
profesi,0
profesional,0
profesionalitas,0
program,0
prokses,0
properti,0
proses,0
protes,0
prov,0
provokasi,0
provokatif,0
provokator,0
proyek,0
prsiden,0
prundung,0
prundunganjhello,0
ps,0
psikis,0
psikolog,0
psikologi,0
psk,0
psngn,0
psyco,0
puas,0
puasa,0
puass,0
public,0
publik,0
publikasikan,0
publish,0
pudarsehingga,0
pukul,0
pukulan,0
pukulin,0
pula,0
puladuh,0
pulak,0
pulih,0
pulng,0
pulo,0
pulok,0
puluh,0
puluhan,0
pun,0
puncak,0
pundi,0
pung,0
punggur,0
punishmentnya,0
punya,0
pupus,0
pura,0
purapura,0
purba,0
pure,5
pusat,0
pusdiklatpegawai,0
pusing,0
puslapdikdikbud,0
putaran,0
puter,0
putih,0
putihkampanye,0
putin,0
putra,0
putri,0
putus,0
putusan,0
pyd,0
q,0
qbekalilah,0
qishos,0
quaden,0
quadoss,0
quadosss,0
quality,0
r,0
ra,0
raajiuun,0
rabanan,0
racist,-5
rada,0
rafael,0
ragu,0
rahasia,0
rahim,0
raihnya,0
rais,0
raja,0
rakjat,0
rakya,0
rakyat,4
ramah,0
ramai,0
ramalan,0
rambut,0
rame,0
ramekalau,0
ramekami,0
ranah,0
rantai,0
rantaigenk,0
rapat,0
rapi,0
rapor,0
rapornya,0
rapot,0
rarayunisaa,0
rasa,0
rasaenak,0
rasain,0
rasakan,0
rasany,0
rasanya,0
rasanyaenk,0
rassakannnlah,0
rata,0
rateanak,0
rateul,0
ratusan,0
rawan,0
rawat,0
raya,0
rb,0
read,0
reaksi,0
real,0
realita,0
reality,0
realizing,0
rebu,0
rebutan,0
red,0
refdyarzl,0
reformasi,0
regenerasi,0
rejim,0
rek,0
rekaan,0
rekam,0
rekrutmen,0
rekwoilahh,0
rela,0
relijiusnya,0
rem,0
remaja,0
remajaasssuuuu,0
remajamereka,0
remajawkwkwkwkwk,0
remeh,0
rencana,0
rencananya,0
rendah,0
rendahan,0
rendahminat,0
renovasi,0
repot,0
reputasi,0
resah,0
resep,0
reset,0
resiko,0
resikonya,0
resikonyauntuk,0
reskrimcianjur,0
respect,5
respek,0
respon,0
respond,0
response,0
restui,0
reti,0
reuni,0
revenger,0
review,0
revisi,0
revolusi,0
rezaza,0
rezeki,0
rezim,0
rga,0
riaaayu,0
ribet,0
ribu,0
ribuan,0
ribut,0
rich,5
ridwan,0
ridwankamil,0
right,5
rimba,0
ring,0
ringan,0
ringankl,0
rintangan,0
rip,-5
risih,0
rispek,0
rizkigusman,0
rk,0
rm,0
rmalah,0
rmh,0
rndyrnlldy,0
roasting,0
robot,0
roda,0
rogoh,0
rohingnya,0
rohingya,0
rojiun,0
rokok,0
rombong,0
rompay,0
rompi,0
rompies,0
rosting,0
roti,0
rs,0
rsgini,0
rsj,0
rt,0
ruang,0
ruangan,0
rubah,0
rugi,0
ruko,0
rumah,0
rumahjadinya,0
rumahnya,0
rundung,0
rundungsikaaatt,0
rungkad,0
rupanya,0
rupiah,0
rusak,0
rusakin,0
russia,0
rusuh,0
rusuk,0
rutin,0
rutinitas,0
ruwetnya,0
rzkkimo,0
s,0
saat,0
saatnya,0
saatnyabuka,0
sabaar,0
saban,0
sabar,0
sabet,0
sad,-5
sadar,0
sadis,0
sadisnya,0
sah,0
saha,0
saiki,0
sailormoon,0
saingannya,0
saja,0
sajaini,0
sajakoyo,0
sajikan,0
sak,0
sakit,0
sakitnya,0
sakittt,0
sakitttt,0
sakno,0
saksi,0
salah,0
salahakui,0
salahapa,0
salahbentuk,0
salahkan,0
salahnya,0
salam,0
salaman,0
salfok,0
saling,0
salut,0
sama,0
sambil,0
sambo,0
sampah,0
sampai,3
sampe,0
sampean,0
sampek,0
samperin,0
sampeyan,0
sampian,0
sampingan,0
sana,0
sang,0
sangar,0
sangat,0
sangsi,0
sangup,0
sanjung,0
sanksi,0
sanksiberat,0
santai,0
santun,0
sapa,0
saran,0
sarana,0
saranya,0
sarat,0
sasaran,0
sata,0
satgas,0
satria,0
satriyo,0
satu,0
satunya,0
saudara,0
saudaramu,0
say,0
saya,3
sayagaimana,0
sayang,0
sayapadahal,0
sayayg,0
sbagai,0
sbg,0
sblm,0
sbntar,0
scam,-5
scamm,0
scammer,0
school,0
schooling,0
scr,0
sd,0
sdg,0
sdh,0
sdhlah,0
sdm,0
sdr,0
sdsmp,0
sdsmpsma,0
se,0
seadil,0
seagamanya,0
seakan,0
seankamu,0
seansunan,0
sebab,0
sebagai,0
sebagainya,0
sebagau,0
sebaiknya,0
sebaliknya,0
sebar,0
sebatas,0
sebel,0
sebelah,0
sebelahmukan,0
sebelum,0
sebelummasuktest,0
sebelumnya,0
sebelumnyahehehehlotolol,0
sebenarnya,0
sebenci,0
sebenenya,0
sebenernya,0
sebentar,0
seberapa,0
seberapadana,0
seberat,0
seberatnya,0
sebisa,0
seblomnya,0
sebrensek,0
sebuah,0
sebuas,0
sebulan,0
sebut,0
sebutin,0
sebutkan,0
sec,0
secara,0
secepatnya,0
secondhand,0
sedang,0
sedangkan,0
sedari,0
sedemikan,0
sediakan,0
sedih,0
sedihh,0
sedihnya,0
sediih,0
sedikit,0
sedikitpun,0
sedikot,0
sedini,0
sedunia,0
seduniaaaaaa,0
see,0
seekdar,0
seemmiiit,0
seenak,0
seenaknya,0
seenaknyadan,0
seenggaknya,0
seengganya,0
segala,0
segalabelajar,0
segalanya,0
segampang,0
segan,0
segede,0
segenk,0
segera,0
segeraatolong,0
segi,0
segininya,0
segitu,0
segitunya,0
seharusnya,0
sehat,0
sehatyg,0
sehebat,0
sehingga,0
sehrsnya,0
seimbang,0
seindonesia,0
sejak,0
sejati,0
sejatinya,0
sejenak,0
sejenis,0
sek,0
sekali,0
sekalian,0
sekaligus,0
sekalii,0
sekaliiii,0
sekalinya,0
sekalipun,0
sekarang,0
sekaranghadir,0
sekedar,0
sekelas,0
sekeliling,0
sekeluarga,0
sekengcengnya,0
sekeras,0
sekesel,0
seketika,0
sekitar,0
sekloah,0
sekola,0
sekolah,0
sekolahan,0
sekolahannya,0
sekolahberarti,0
sekolahh,0
sekolahin,0
sekolahkan,0
sekolahny,0
sekolahnya,0
sekolahnyadia,0
sekolahpemuda,0
sekolahprosesjgn,0
sekolahsekolah,0
sekolahyg,0
sekolam,0
sekolh,0
sekrang,0
seksual,0
sekuat,0
sekumpulan,0
sel,0
selagi,0
selain,0
selalu,0
selama,0
selamanya,0
selamat,0
selamatkan,0
selanjutnya,0
selasaikan,0
selatan,0
selaw,0
seleb,0
selebritiselebriti,0
selempang,0
selesai,0
selesaikan,0
selesain,0
selesainegara,0
selevel,0
selfie,0
selidik,0
selow,0
seluruh,0
semacam,0
semahal,0
semakin,0
semala,0
semangaaat,0
semangat,0
semangatttt,0
semarang,0
semauny,0
sembuh,0
sembuhin,0
sembunyiin,0
semena,0
semengkritik,0
semenjak,0
sementara,0
semi,0
seminggu,0
semisal,0
semngattt,0
semodelan,0
semoga,4
sempurna,0
sempurnacoba,0
semua,0
semuaaa,0
semuabetina,0
semuamurid,0
semuanirg,0
semuanya,0
semuaterutama,0
semudah,0
semulia,0
senang,0
senasib,0
senasip,0
senayan,0
sending,0
sendiri,0
sendiriagak,0
sendirian,0
sendirii,0
sendirilama,0
sendirisad,0
sendirisemangat,0
seneng,0
seng,0
sengaja,0
senggel,0
senggol,0
sengkuniw,0
senior,0
senioritas,-1
senjata,0
senonoh,0
sensi,0
sensitif,0
sensor,0
sensormuka,0
sensorr,0
sensos,0
senyap,0
senyum,0
seolah,0
seorang,0
sepadan,0
sepakat,0
sepantasnya,0
separah,0
separahnya,0
sepat,0
sepele,0
sepelesaya,0
sepenuhnya,0
seperti,2
sepertinya,4
sepi,0
seprti,0
sepupu,0
serahkan,0
serame,0
serang,0
serangan,0
serasa,0
serba,0
sereeet,0
sereem,0
serem,0
seret,0
seribu,0
serikat,0
sering,0
seringkali,0
serius,0
serpong,0
serta,0
sertifikat,0
seru,0
serupa,0
serupaini,0
seruu,0
sesakli,0
sesama,0
sesamanya,0
sesat,0
sesederhana,0
seseorang,0
seseorangjangan,0
sesimple,0
sestandartnya,0
sesuai,0
sesuatu,0
sesungguhnya,0
setan,0
setap,0
setau,0
setelah,0
setengah,0
setia,0
setiap,0
setidaknya,0
setimpal,0
setimpalllll,0
setingan,0
seto,0
seton,0
setoo,0
setuju,0
setujuu,0
setujuuuuu,0
seumur,0
sewajae,0
sewajarnya,0
sewot,0
sex,0
sexual,0
sg,0
sgra,0
sgtu,0
shaming,0
share,0
sharelock,0
sharing,0
shasabuncis,0
shellaxmelinda,0
shes,0
shit,-5
shite,0
shock,-5
shocktherapy,0
sholah,0
sholat,0
sholatkan,0
sholawat,0
sholeh,0
sholehsholehahinget,0
sholehun,0
shopee,0
shoping,0
show,0
showternyata,0
si,1
siaga,0
sial,-3
sialan,0
siang,0
siap,0
siapa,2
siapaaaa,0
siapahukum,0
siapanya,0
siapapakpengen,0
siapapun,0
siape,0
siapkanlah,0
siapminta,0
siborokokok,0
sibuk,0
sibukan,0
sibuklah,0
sidang,0
sie,0
sifat,0
sifatnya,0
siga,0
sigap,0
sih,0
sihh,0
sihhh,0
sihhitu,0
sihkyk,0
sihringam,0
sihsolusi,0
sii,0
siih,0
siip,0
sikaaaatt,0
sikap,0
sikat,0
sikit,0
sikojo,0
siksa,0
siksalah,0
sikut,0
silahkan,0
silang,0
silat,0
silaturahmi,0
silet,0
silt,0
silver,0
simpan,0
simpati,0
simpel,0
sina,0
sinarmas,0
sindir,0
sinetron,0
sini,0
siniagar,0
sinilah,0
sinonim,0
sipa,0
sipaling,0
sipat,0
sipelaku,0
sirna,0
sisa,0
sisanya,0
sisi,0
sisinya,0
sistem,0
siswa,0
siswanya,0
siswasiswi,0
siswasiswinya,0
siswi,0
situ,1
situasi,0
situs,0
situsnya,0
siunyil,0
sj,0
sja,0
sjgak,0
sk,0
skali,0
skalian,0
skarang,0
skck,0
skg,0
skill,5
skippadahal,0
skitar,0
skits,0
skl,0
sklh,0
skli,0
skola,0
skolah,0
skolahan,0
skolahnya,0
skorsing,0
skr,0
skrang,0
skrg,0
skrng,0
skul,0
slain,0
slalu,0
slama,0
slb,0
sleding,0
slh,0
sliding,0
sll,0
sllu,0
slm,0
sm,0
sma,0
smaalpus,0
smakin,0
smash,-5
smg,0
smile,5
smithing,0
smk,0
smkin,0
smoga,0
smp,0
smpai,0
smpalazhar,0
smpe,0
smpek,0
smpi,0
smpw,0
smua,0
smuageram,0
smw,0
sna,0
sndiri,0
sndri,0
sngt,0
sni,0
snsorgk,0
so,0
soal,0
soalny,0
soalnya,0
soan,0
sob,-5
sobat,0
society,0
sodara,0
soeharto,0
sogok,0
sogokannya,0
sok,0
sokan,0
sokap,0
sokibnyaberani,0
sokkk,0
sokor,0
solidaritas,0
solusi,0
solusinya,4
solusinyanya,0
sombong,-4
sombongmu,-5
sombongnya,-5
some,0
someones,0
something,0
son,0
songong,0
sono,0
soookkkk,0
sopan,0
sopo,0
sorot,0
sorotan,0
sorry,-5
sorryy,0
sosial,0
sosialisasinya,0
sosmed,0
sosok,0
sososk,0
soyo,0
sp,0
speak,0
speakup,0
specialist,0
speechless,0
spend,0
sperti,0
spesies,0
spi,0
spil,0
spill,0
spilll,0
spoil,-5
spoon,0
sportif,0
spot,0
spp,0
sppnya,0
sprt,0
sprti,0
spt,0
spy,0
sr,0
srek,0
srg,0
srimulat,0
srjak,0
srk,0
srs,0
ss,0
ssmua,0
staff,0
standar,0
standard,0
standart,0
starategi,0
start,0
stasiun,0
statemen,0
statement,0
status,0
stay,0
stelah,0
stengah,0
step,0
