classified_text,tweet_text,sentence_score,nilai_sentiment,sentiment_label,text_clean
mantap [Positive (5.0)] anies, mantap anies,['mantap [Positive (5.0)] anies'],5.0,Positive,mantap anies
janji prabowo kayak [Negative (3.0)] deh janji rakyat, janji prabowo kayak deh janji rakyat,['janji prabowo kayak [Negative (3.0)] deh janji rakyat'],-3.0,Negative,janji prabowo kayak deh janji rakyat
ambisi [Positive (4.0)] gebu [Negative (3.0)] gebu [Negative (4.0)], ambisi gebu gebu,['ambisi [Positive (4.0)] gebu [Negative (3.0)] gebu [Negative (4.0)]'],0.0,Neutral,ambisi gebu gebu
udah nis milu udah hasil [Positive (3.0)] prabowo menang [Negative (5.0)] putar baik [Negative (1.0)] ucap [Negative (2.0)] selamat [Positive (5.0)] prabowo, udah nis milu udah hasil prabowo menang putar baik ucap selamat prabowo,['udah nis milu udah hasil [Positive (3.0)] prabowo menang [Negative (5.0)] putar baik [Negative (1.0)] ucap [Negative (2.0)] selamat [Positive (5.0)] prabowo'],5.0,Positive,udah nis milu udah hasil prabowo menang putar baik ucap selamat prabowo
ubah pikir [Negative (2.0)] gabung [Negative (6.0)] kabinet [Negative (4.0)] prabowo gitukan aniiss, ubah pikir gabung kabinet prabowo gitukan aniiss,['ubah pikir [Negative (2.0)] gabung [Negative (6.0)] kabinet [Negative (4.0)] prabowo gitukan aniiss'],-4.0,Negative,ubah pikir gabung kabinet prabowo gitukan aniiss
bukti [Negative (3.0)] rekam [Negative (4.0)] jejak bohong [Negative (5.0)], bukti rekam jejak bohong,['bukti [Negative (3.0)] rekam [Negative (4.0)] jejak bohong [Negative (5.0)]'],-5.0,Negative,bukti rekam jejak bohong
percaya [Positive (2.0)] teuing beres pilpres tawarin menteri da sabet hadeuuh sengkuniw sengkuniw, percaya teuing beres pilpres tawarin menteri da sabet hadeuuh sengkuniw sengkuniw,['percaya [Positive (2.0)] teuing beres pilpres tawarin menteri da sabet hadeuuh sengkuniw sengkuniw'],2.0,Positive,percaya teuing beres pilpres tawarin menteri da sabet hadeuuh sengkuniw sengkuniw
kualatt tetangga niss nama nya bu etika, kualatt tetangga niss nama nya bu etika,['kualatt tetangga niss nama nya bu etika'],0.0,Neutral,kualatt tetangga niss nama nya bu etika
laku mann, laku mann,['laku mann'],0.0,Neutral,laku mann
berpa bnyka janji palsu abud lihat [Positive (3.0)] tahan [Negative (2.0)] brp janji manis [Negative (2.0)], berpa bnyka janji palsu abud lihat tahan brp janji manis,['berpa bnyka janji palsu abud lihat [Positive (3.0)] tahan [Negative (2.0)] brp janji manis [Negative (2.0)]'],3.0,Positive,berpa bnyka janji palsu abud lihat tahan brp janji manis
liat [Negative (1.0)] rekam [Negative (4.0)] jejak nya, liat rekam jejak nya,['liat [Negative (1.0)] rekam [Negative (4.0)] jejak nya'],-4.0,Negative,liat rekam jejak nya
pingin [Positive (2.0)] lihat [Positive (4.0)] dukung [Positive (5.0)] gimana kl pa [Negative (5.0)] anis masuk [Negative (3.0)] kabinet [Negative (4.0)] oposisi [Negative (4.0)] masuk [Negative (4.0)] pdip, pingin lihat dukung gimana kl pa anis masuk kabinet oposisi masuk pdip,['pingin [Positive (2.0)] lihat [Positive (4.0)] dukung [Positive (5.0)] gimana kl pa [Negative (5.0)] anis masuk [Negative (3.0)] kabinet [Negative (4.0)] oposisi [Negative (4.0)] masuk [Negative (4.0)] pdip'],5.0,Positive,pingin lihat dukung gimana kl pa anis masuk kabinet oposisi masuk pdip
janji tinggal [Negative (3.0)] janji biar [Negative (3.0)] ajar [Negative (4.0)] masyarakat indonesia politik [Negative (1.0)] adu [Negative (4.0)] gagas politik [Negative (1.0)] ifentitas tumbuh provokasi [Positive (1.0)] rakyat pikir [Negative (2.0)] jelek [Negative (6.0)] perintah sah, janji tinggal janji biar ajar masyarakat indonesia politik adu gagas politik ifentitas tumbuh provokasi rakyat pikir jelek perintah sah,['janji tinggal [Negative (3.0)] janji biar [Negative (3.0)] ajar [Negative (4.0)] masyarakat indonesia politik [Negative (1.0)] adu [Negative (4.0)] gagas politik [Negative (1.0)] ifentitas tumbuh provokasi [Positive (1.0)] rakyat pikir [Negative (2.0)] jelek [Negative (6.0)] perintah sah'],-5.0,Negative,janji tinggal janji biar ajar masyarakat indonesia politik adu gagas politik ifentitas tumbuh provokasi rakyat pikir jelek perintah sah
bawa [Negative (3.0)] ubah mana semangat [Negative (1.0)] ubah padam, bawa ubah mana semangat ubah padam,['bawa [Negative (3.0)] ubah mana semangat [Negative (1.0)] ubah padam'],0.0,Neutral,bawa ubah mana semangat ubah padam
